,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9653,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19109343.0,19109343.0,,1,,,,2022-08-01T13:16:00.000Z,23057.44155374787,24191851739.60732,-1.3874,-0.62140358,-2.98042807,5.25962037,19.73827555,-22.6098522,-40.01061346,440612559353.021,41.1218,484206272628.71,,2022-08-01T13:16:00.000Z,,,,,,2022-08-01 13:19:19.443504
1,1027,Ethereum,ETH,ethereum,5874,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121785807.499,121785807.499,,2,,,,2022-08-01T13:16:00.000Z,1649.8185661419736,15173467348.848488,11.1066,-0.94156674,-3.71229096,8.12686695,56.60534187,-8.77991227,-41.84275051,200924486304.4426,18.7439,200924486304.44,,2022-08-01T13:16:00.000Z,,,,,,2022-08-01 13:19:19.443504
2,825,Tether,USDT,tether,36848,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,66197977707.256714,68158976390.68304,,3,,,,2022-08-01T13:16:00.000Z,1.0002901114611846,52054791208.446526,-2.3558,0.00305471,0.0016288,0.02328937,0.12992491,0.1053167,0.02988688,66217182499.29684,6.18,68178750090.92,,2022-08-01T13:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-08-01 13:19:19.443504
3,3408,USD Coin,USDC,usd-coin,4993,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,54385896530.83455,54385896530.83455,,4,,,,2022-08-01T13:16:00.000Z,0.9997332434812848,7266050786.07767,11.6131,-0.00167891,0.00880333,-0.02620275,-0.04484106,-0.02824895,-0.0092464,54371388738.408775,5.0704,54371388738.41,,2022-08-01T13:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-08-01 13:19:19.443504
4,1839,BNB,BNB,bnb,1043,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-08-01T13:16:00.000Z,283.66033340721157,1336503033.7283385,-7.0158,-0.81072873,-2.80690747,11.18612932,31.39189227,-5.83915245,-26.66884106,45764981271.795746,4.2693,56732066681.44,,2022-08-01T13:16:00.000Z,,,,,,2022-08-01 13:19:19.443504
5,52,XRP,XRP,xrp,781,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,6,,,,2022-08-01T13:16:00.000Z,0.3741110466381482,1309657307.326051,-31.3366,-0.81963664,-4.19593299,8.18670144,19.36294344,-5.31991701,-39.47992845,18085688186.543587,1.6879,37411104663.81,,2022-08-01T13:16:00.000Z,,,,,,2022-08-01 13:19:19.443504
6,4687,Binance USD,BUSD,binance-usd,4235,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17912484059.469254,17912484059.469254,,7,,,,2022-08-01T13:16:00.000Z,0.9985722681505365,6587403640.09711,5.253,-0.01014222,-0.11068869,-0.04661574,-0.07305162,-0.257302,-0.26219641,17886909835.47454,1.6676,17886909835.47,,2022-08-01T13:16:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-08-01 13:19:19.443504
7,2010,Cardano,ADA,cardano,529,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33739028515.755,34512850428.993,,8,,,,2022-08-01T13:16:00.000Z,0.5082203841044398,800776607.671827,-21.5784,-0.85021443,-4.27335151,3.28055508,12.85899521,-10.0605921,-35.86622824,17146862031.587654,1.5989,22869917284.7,,2022-08-01T13:16:00.000Z,,,,,,2022-08-01 13:19:19.443504
8,5426,Solana,SOL,solana,353,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,346520782.9344703,511616946.142289,,9,,,,2022-08-01T13:16:00.000Z,41.63396821362573,1170430783.967418,-35.9043,-1.21104761,-6.20373761,7.4864293,25.99540083,3.48998975,-52.62573113,14427035262.054438,1.3453,21300643673.24,,2022-08-01T13:16:00.000Z,,,,,,2022-08-01 13:19:19.443504
9,74,Dogecoin,DOGE,dogecoin,519,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-08-01T13:16:00.000Z,0.06786370655422379,484652683.13355654,-13.0575,-0.99146376,-4.01039883,4.46528662,1.1223523,-16.36215634,-48.0797766,9003529816.772602,0.8399,9003529816.77,,2022-08-01T13:16:00.000Z,,,,,,2022-08-01 13:19:19.443504
10,6636,Polkadot,DOT,polkadot-new,372,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,7548250263.515819,,2022-08-01T13:16:00.000Z,8.34180834307389,979820258.7558051,35.8934,-1.3427818,-0.00965645,17.86651475,22.64934835,-11.91386958,-44.37590993,8238197368.956208,0.7689,9203546102.52,,2022-08-01T13:16:00.000Z,,,,,,2022-08-01 13:19:19.443504
11,4943,Dai,DAI,multi-collateral-dai,1053,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,7442721430.558009,7442721430.558009,,12,,,,2022-08-01T13:16:00.000Z,0.9988446644748225,1567815810.4634745,355.1394,-0.09442059,-0.05000114,-0.07030969,-0.14881082,-0.06002949,-0.07199774,7434122590.085285,0.6931,7434122590.09,,2022-08-01T13:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-08-01 13:19:19.443504
12,3890,Polygon,MATIC,polygon,434,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,8034803942.62,10000000000.0,,13,,,,2022-08-01T13:16:00.000Z,0.8950654611860582,775522908.8182803,-33.2383,-1.47793897,-6.25033464,8.14757669,89.52191325,49.14953598,-18.86111232,7191675496.440729,0.6712,8950654611.86,,2022-08-01T13:16:00.000Z,,,,,,2022-08-01 13:19:19.443504
13,5805,Avalanche,AVAX,avalanche,291,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,284346043.7753012,404229626.49901325,,14,,,,2022-08-01T13:16:00.000Z,23.12361391229918,539038846.4202791,-22.9227,-1.26726191,-6.35580352,4.77553862,41.55831001,-1.93418911,-62.00389171,6575108133.749787,0.613,16649002016.86,,2022-08-01T13:16:00.000Z,,,,,,2022-08-01 13:19:19.443504
14,5994,Shiba Inu,SHIB,shiba-inu,379,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,15,,,,2022-08-01T13:16:00.000Z,1.1852402116720929e-05,643073609.068069,27.6991,-1.10584034,-1.45754886,5.21130046,17.03732824,8.62130013,-43.06064748,6507718768.767215,0.6074,6989776722.72,,2022-08-01T13:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2022-08-01 13:19:19.443504
0,1,Bitcoin,BTC,bitcoin,9653,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19109343.0,19109343.0,,1,,,,2022-08-01T13:19:00.000Z,23083.518261805035,24248265576.72647,-0.7927,-0.50656888,-2.87760841,5.48059706,19.8875267,-22.38249891,-39.9350105,441110868111.5962,41.1683,484753883497.91,,2022-08-01T13:19:00.000Z,,,,,,2022-08-01 13:20:59.770140
1,1027,Ethereum,ETH,ethereum,5874,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121785807.499,121785807.499,,2,,,,2022-08-01T13:19:00.000Z,1650.6746772887825,15306755045.414759,12.3204,-0.86394573,-3.6597178,8.4091914,56.71695562,-8.36619991,-41.79406948,201028748491.76562,18.7536,201028748491.77,,2022-08-01T13:19:00.000Z,,,,,,2022-08-01 13:20:59.770140
2,825,Tether,USDT,tether,36848,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,66197977707.256714,68158976390.68304,,3,,,,2022-08-01T13:19:00.000Z,1.0002061675356326,52164209039.66148,-1.8981,-0.00635466,-0.00602506,0.01464662,0.12307145,0.09840345,0.0189168,66211625581.18449,6.1794,68173028558.88,,2022-08-01T13:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-08-01 13:20:59.770140
3,3408,USD Coin,USDC,usd-coin,4993,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,54385896530.83455,54385896530.83455,,4,,,,2022-08-01T13:19:00.000Z,0.9998916150486709,7277370640.560095,12.3895,0.00792878,0.01983506,-0.01000346,-0.03104555,-0.03782107,-0.00695428,54380001918.08606,5.0804,54380001918.09,,2022-08-01T13:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-08-01 13:20:59.770140
4,1839,BNB,BNB,bnb,1043,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-08-01T13:19:00.000Z,283.8969512303642,1338496555.2682567,-6.767,-0.7417808,-2.81749091,11.43272371,31.41381726,-5.48810164,-26.60859766,45803156543.308266,4.2729,56779390246.07,,2022-08-01T13:19:00.000Z,,,,,,2022-08-01 13:20:59.770140
5,52,XRP,XRP,xrp,781,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,6,,,,2022-08-01T13:19:00.000Z,0.37471910597084074,1313239608.3903449,-31.0581,-0.63904768,-3.97906054,8.44886716,19.55691188,-5.14847741,-39.36925934,18115083660.39772,1.6907,37471910597.08,,2022-08-01T13:19:00.000Z,,,,,,2022-08-01 13:20:59.770140
6,4687,Binance USD,BUSD,binance-usd,4235,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17912484059.469254,17912484059.469254,,7,,,,2022-08-01T13:19:00.000Z,0.9987132751686586,6599643740.171355,6.3895,0.00205869,-0.09774677,-0.03082574,-0.21339253,-0.16567762,-0.19121729,17889435621.438927,1.6696,17889435621.44,,2022-08-01T13:19:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-08-01 13:20:59.770140
7,2010,Cardano,ADA,cardano,529,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33739028515.755,34512850428.993,,8,,,,2022-08-01T13:19:00.000Z,0.508772150014473,802039831.9951518,-21.0995,-0.70637148,-4.14713609,3.48829033,12.93136615,-9.42325103,-35.77994162,17165478077.360285,1.6031,22894746750.65,,2022-08-01T13:19:00.000Z,,,,,,2022-08-01 13:20:59.770140
8,5426,Solana,SOL,solana,353,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,346520782.9344703,511616946.142289,,9,,,,2022-08-01T13:19:00.000Z,41.646866083502864,1173674468.760969,-35.4602,-1.07027923,-6.17579368,7.77395558,26.02353387,3.85193271,-52.60903695,14431504642.02245,1.3478,21307242442.04,,2022-08-01T13:19:00.000Z,,,,,,2022-08-01 13:20:59.770140
9,74,Dogecoin,DOGE,dogecoin,519,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-08-01T13:19:00.000Z,0.06793458042904606,485604197.58987284,-12.7897,-0.85560318,-3.91356404,4.65137725,1.21550425,-15.97963007,-48.02593165,9012932707.914167,0.8408,9012932707.91,,2022-08-01T13:19:00.000Z,,,,,,2022-08-01 13:20:59.770140
10,6636,Polkadot,DOT,polkadot-new,372,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,7556897565.174606,,2022-08-01T13:19:00.000Z,8.35136474761853,980634744.7037182,35.965,-1.14822332,0.08584371,18.17330814,22.83127368,-11.61962098,-44.27064313,8247635076.409858,0.7697,9214089716.83,,2022-08-01T13:19:00.000Z,,,,,,2022-08-01 13:20:59.770140
11,4943,Dai,DAI,multi-collateral-dai,1053,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,7442721430.558009,7442721430.558009,,12,,,,2022-08-01T13:19:00.000Z,0.9992497838767457,1570375081.546995,357.523,-0.04310732,-0.02226371,-0.03717914,-0.07865429,-0.05555521,-0.02697701,7437137780.939914,0.6941,7437137780.94,,2022-08-01T13:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-08-01 13:20:59.770140
12,3890,Polygon,MATIC,polygon,434,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,8034803942.62,10000000000.0,,13,,,,2022-08-01T13:19:00.000Z,0.898056891649574,777776560.305606,-32.9825,-1.18284946,-5.97894109,8.64820742,90.18872502,50.01345785,-18.60293274,7215711053.72306,0.6734,8980568916.5,,2022-08-01T13:19:00.000Z,,,,,,2022-08-01 13:20:59.770140
13,5805,Avalanche,AVAX,avalanche,291,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,284346043.7753012,404229626.49901325,,14,,,,2022-08-01T13:19:00.000Z,23.128206909172103,540897510.1548334,-22.5034,-1.23711709,-6.33034753,5.08598536,41.60204978,-1.4795078,-62.01630337,6576414134.239675,0.6138,16652308974.6,,2022-08-01T13:19:00.000Z,,,,,,2022-08-01 13:20:59.770140
14,5994,Shiba Inu,SHIB,shiba-inu,379,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,15,,,,2022-08-01T13:19:00.000Z,1.1881779137127197e-05,644332183.4492456,28.1883,-0.81021294,-1.26697201,5.57037035,17.3283724,9.06131745,-42.87455808,6523848611.915096,0.6089,7007101380.74,,2022-08-01T13:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2022-08-01 13:20:59.770140
